"#","Reference","Qty","Value","Footprint","DNP"
"1","BZ1","1","AT-1438-TWT-R","Full-Flight-Computer:AT-1438-TWT-R",""
"2","C1","1","4.7uF","Full-Flight-Computer:CAP_0402",""
"3","C2, C3, C5, C6, C7, C8, C15, C16, C17, C18, C19, C25","12","0.1uF","Full-Flight-Computer:CAP_0402",""
"4","C4, C9","2","2.2uF","Full-Flight-Computer:CAP_0402",""
"5","C10, C20, C21, C22, C23, C24","6","1uF","Full-Flight-Computer:CAP_0402",""
"6","C11, C13","2","1uF","Full-Flight-Computer:CAP_0603",""
"7","C12, C14","2","8pF","Full-Flight-Computer:CAP_0402",""
"8","D1","1","CLMVC-FKA-CL1D1L71BB7C3C3","Full-Flight-Computer:CLMVC-FKA-CL1D1L71BB7C3C3",""
"9","D2, D3, D4","3","PMEG3010AESBYL","Full-Flight-Computer:PMEG3010AESBYL",""
"10","D5","1","LTST-C191KGKT","Full-Flight-Computer:LTST-C191KGKT",""
"11","D6","1","SP0504BAHTG","Full-Flight-Computer:SP0504BAHTG",""
"12","H1, H2","2","Mounting-Hole-4-40","Full-Flight-Computer:MountingHole_4-40",""
"13","H3, H4","2","Mounting-Hole","Full-Flight-Computer:MountingHole_4-40",""
"14","J1","1","Jumper_NO","Full-Flight-Computer:Jumper-NO",""
"15","P1","1","0530470610","Full-Flight-Computer:53047-0610",""
"16","P2","1","B2B-PH-K-SLFSN_JST","Full-Flight-Computer:B2B-PH-K-SLFSN_JST",""
"17","P3, P5","2","1984659","Full-Flight-Computer:1546551-4",""
"18","P4","1","1546551-4","Full-Flight-Computer:1546551-4",""
"19","P6","1","USB","Full-Flight-Computer:10118194-0001LF",""
"20","Q1, Q2, Q3, Q4","4","QS5U17TR","Full-Flight-Computer:QS5U17TR",""
"21","Q5, Q6, Q7, Q8, Q9, Q10","6","2N7002W-7-F","Full-Flight-Computer:2N7002W-7-F",""
"22","R1, R2","2","82","Full-Flight-Computer:RES_0402",""
"23","R3, R6","2","240","Full-Flight-Computer:RES_0402",""
"24","R4","1","39k","Full-Flight-Computer:RES_0402",""
"25","R5, R7, R8, R9, R11, R17, R18, R19, R20, R21, R24, R27, R28","13","10k","Full-Flight-Computer:RES_0402",""
"26","R10, R12, R26","3","4.7k","Full-Flight-Computer:RES_0402",""
"27","R13, R14, R15, R16, R22, R25","6","100k","Full-Flight-Computer:RES_0402",""
"28","R23","1","200k","Full-Flight-Computer:RES_0402",""
"29","U1","1","STM32H750VBTx","Full-Flight-Computer:STM32H750VBT6",""
"30","U2","1","AP7370-33Y-13","Full-Flight-Computer:AP7370-33Y-13",""
"31","U3","1","BMI323","Full-Flight-Computer:BMI323",""
"32","U4","1","BMM150","Full-Flight-Computer:BMM150",""
"33","U5","1","BMP390","Full-Flight-Computer:BMP390",""
"34","U6","1","H3LIS100DLTR","Full-Flight-Computer:H3LIS100DLTR",""
"35","U7","1","SST25VF040B-50-4I-S2AE-T","Full-Flight-Computer:SST25VF040B-50-4I-S2AE-T",""
"36","U8","1","CP2102-GMR(QFN28)","Full-Flight-Computer:CP2012-GMR",""
"37","Y1","1","ECS-240-18-33-JGN-TR","Full-Flight-Computer:ECS-240-12-37B-CKY-TR",""
